Designator,Footprint,Quantity,Value,LCSC Part #
BT1,BatteryHolder_Keystone_3034_1x20mm,1,CR1220,
"C1, C2, C3, C4, C9",1206,5,10uF,
"C5, C6, C7",1206,3,1uF,
C8,0805,1,0.1uF,
D1,0603,1,GREEN,
D2,0603,1,RED,
"D3, D4",D_SOD-123,2,D_Schottky,
J1,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
J2,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J3,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,Conn_01x02,
J5,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
P1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Plug_USB2.0,
"R1, R2, R9",0603,3,4.7k,
R10,0603,1,5.1k,
"R11, R12, R3, R4, R5, R6",0603,6,10k,
R7,0603,1,1k,
R8,0603,1,6.2k,
"SW2, SW4",SW_Push_1P1T_XKB_TS-1187A,2,SW_Push,
U1,ESP32-C3-MINI-1,1,ESP32-C3-MINI-1,
U2,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U3,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,1,BQ24074RGT,
U4,SOT-23-5,1,ME6211C33M5,
