Designator,Mid X,Mid Y,Rotation,Layer
BT1,171.515,-82.5,0.0,top
C1,170.207533,-66.456757,270.0,top
C2,172.731111,-66.472167,270.0,top
C3,171.538162,-70.087628,0.0,top
C4,167.386014,-62.956203,0.0,top
C5,185.997873,-80.142504,180.0,top
C6,192.279538,-76.495221,180.0,top
C7,201.311659,-70.180355,0.0,top
C8,206.929724,-70.617719,180.0,top
C9,207.072315,-68.336271,180.0,top
D1,159.091645,-73.463285,270.0,top
D2,160.858183,-73.475873,270.0,top
D3,188.262121,-75.637711,90.0,top
D4,188.214187,-84.508464,270.0,top
H1,152.5,-62.5,0.0,top
H2,152.5,-95.0,0.0,top
H3,205.0,-62.5,0.0,top
H4,205.0,-95.0,0.0,top
J1,178.73,-97.5,90.0,top
J2,163.77,-60.0,270.0,top
J3,150.0,-71.0,270.0,top
J5,151.992381,-77.646758,0.0,top
P1,151.282312,-86.195291,270.0,top
R1,196.872688,-72.690034,90.0,top
R10,157.707007,-84.988907,180.0,top
R11,197.195634,-86.304054,180.0,top
R12,202.997571,-68.096024,180.0,top
R2,196.882194,-75.789,270.0,top
R3,163.432164,-71.597807,0.0,top
R4,163.448797,-73.371019,180.0,top
R5,160.855738,-66.554124,180.0,top
R6,160.872568,-69.62867,180.0,top
R7,167.901585,-66.028719,90.0,top
R8,162.224941,-64.952955,180.0,top
R9,162.309792,-63.326938,0.0,top
SW2,195.0,-67.5,0.0,top
SW4,195.0,-90.0,0.0,top
U1,206.2,-78.5,270.0,top
U2,182.056791,-64.878342,180.0,top
U3,164.6,-67.9,0.0,top
U4,191.352993,-80.04684,180.0,top
